rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
1,1,30.6667,13.2,0.753094,0.753094,0,All,#4682B4,0
2,1,30.6667,15.9503,0.0849552,0.0849552,0,All,#4682B4,0
3,1,30.6667,8.75909,1.83192,1.83192,0,All,#4682B4,0
4,1,30.6667,12.2104,0.993483,0.993483,0,All,#4682B4,0
1,2,23.0167,7.19209,0.269146,0.269146,0,All,#4682B4,0
2,2,23.0167,6.89179,0.342096,0.342096,0,All,#4682B4,0
3,2,23.0167,7.16092,0.276717,0.276717,0,All,#4682B4,0
4,2,23.0167,6.16934,0.517602,0.517602,0,All,#4682B4,0
1,2,51.5833,12.5665,0.566867,0.566867,0,All,#4682B4,0
2,2,51.5833,13.8917,0.244946,0.244946,0,All,#4682B4,0
3,2,51.5833,13.8007,0.267062,0.267062,0,All,#4682B4,0
4,2,51.5833,9.62065,1.28252,1.28252,0,All,#4682B4,0
1,3,22.3167,20.7654,0.640031,0.640031,0,All,#4682B4,0
2,3,22.3167,16.5158,1.67239,1.67239,0,All,#4682B4,0
3,3,22.3167,16.7342,1.61933,1.61933,0,All,#4682B4,0
4,3,22.3167,14.4833,2.16613,2.16613,0,All,#4682B4,0
1,4,64.1333,32.9855,-0.943895,-0.943895,0,All,#4682B4,0
2,4,64.1333,28.7511,0.0847661,0.0847661,0,All,#4682B4,0
3,4,64.1333,30.9617,-0.452262,-0.452262,0,All,#4682B4,0
4,4,64.1333,30.4059,-0.317255,-0.317255,0,All,#4682B4,0
1,4,70.3167,31.1955,0.00109113,0.00109113,0,All,#4682B4,0
2,4,70.3167,28.1931,0.730459,0.730459,0,All,#4682B4,0
3,4,70.3167,28.5409,0.645987,0.645987,0,All,#4682B4,0
4,4,70.3167,27.5976,0.87514,0.87514,0,All,#4682B4,0
1,5,29.3167,16.5339,-1.15002,-1.15002,0,All,#4682B4,0
2,5,29.3167,18.0769,-1.52485,-1.52485,0,All,#4682B4,0
3,5,29.3167,13.2139,-0.343473,-0.343473,0,All,#4682B4,0
4,5,29.3167,14.7253,-0.71065,-0.71065,0,All,#4682B4,0
1,5,62.7167,26.0642,0.931822,0.931822,0,All,#4682B4,0
2,5,62.7167,27.8307,0.502707,0.502707,0,All,#4682B4,0
3,5,62.7167,25.271,1.12453,1.12453,0,All,#4682B4,0
4,5,62.7167,29.3109,0.143107,0.143107,0,All,#4682B4,0
1,6,27.25,14.8378,1.10831,1.10831,0,All,#4682B4,0
2,6,27.25,22.0395,-0.641226,-0.641226,0,All,#4682B4,0
3,6,27.25,27.2096,-1.89718,-1.89718,0,All,#4682B4,0
4,6,27.25,18.2233,0.285859,0.285859,0,All,#4682B4,0
1,7,23.2,17.8998,0.947481,0.947481,0,All,#4682B4,0
2,7,23.2,16.4405,1.302,1.302,0,All,#4682B4,0
3,7,23.2,20.7423,0.256944,0.256944,0,All,#4682B4,0
4,7,23.2,24.8398,-0.738449,-0.738449,0,All,#4682B4,0
1,8,78.8167,25.6229,-0.442842,-0.442842,0,All,#4682B4,0
2,8,78.8167,20.3474,0.838742,0.838742,0,All,#4682B4,0
3,8,78.8167,25.7795,-0.480891,-0.480891,0,All,#4682B4,0
4,8,78.8167,14.8096,2.18403,2.18403,0,All,#4682B4,0
1,9,45.8667,1.27246,1.12417,1.12417,0,All,#4682B4,0
2,9,45.8667,1.00442,1.18928,1.18928,0,All,#4682B4,0
3,9,45.8667,4.27782,0.394078,0.394078,0,All,#4682B4,0
4,9,45.8667,2.79688,0.753842,0.753842,0,All,#4682B4,0
1,10,70.05,13.2709,0.0556625,0.0556625,0,All,#4682B4,0
2,10,70.05,11.0008,0.607142,0.607142,0,All,#4682B4,0
3,10,70.05,11.3525,0.521688,0.521688,0,All,#4682B4,0
4,10,70.05,13.0738,0.103544,0.103544,0,All,#4682B4,0
1,10,100.983,19.3498,-0.862358,-0.862358,0,All,#4682B4,0
2,10,100.983,15.2686,0.129092,0.129092,0,All,#4682B4,0
3,10,100.983,15.8087,-0.00210238,-0.00210238,0,All,#4682B4,0
4,10,100.983,18.1334,-0.566855,-0.566855,0,All,#4682B4,0
1,10,117.217,18.4772,-1.42775,-1.42775,0,All,#4682B4,0
2,10,117.217,11.8646,0.178656,0.178656,0,All,#4682B4,0
3,10,117.217,11.939,0.160576,0.160576,0,All,#4682B4,0
4,10,117.217,14.5055,-0.462892,-0.462892,0,All,#4682B4,0
1,11,17.8333,26.2725,1.97441,1.97441,0,All,#4682B4,0
2,11,17.8333,31.6394,0.670625,0.670625,0,All,#4682B4,0
3,11,17.8333,30.8092,0.872311,0.872311,0,All,#4682B4,0
4,11,17.8333,31.0796,0.806622,0.806622,0,All,#4682B4,0
1,11,41.5,12.3571,-0.815553,-0.815553,0,All,#4682B4,0
2,11,41.5,11.4264,-0.589446,-0.589446,0,All,#4682B4,0
3,11,41.5,8.57098,0.104222,0.104222,0,All,#4682B4,0
4,11,41.5,8.44661,0.134436,0.134436,0,All,#4682B4,0
1,12,22.5,6.0324,0.332232,0.332232,0,All,#4682B4,0
2,12,22.5,11.3128,-0.950534,-0.950534,0,All,#4682B4,0
3,12,22.5,5.11906,0.55411,0.55411,0,All,#4682B4,0
4,12,22.5,2.01497,1.30819,1.30819,0,All,#4682B4,0
1,13,22.7667,15.109,0.362219,0.362219,0,All,#4682B4,0
2,13,22.7667,16.0346,0.137349,0.137349,0,All,#4682B4,0
3,13,22.7667,20.2177,-0.878856,-0.878856,0,All,#4682B4,0
