id,importanceSampling
1,6.027339
2,10.640960
3,6.805828
4,15.688251
5,15.115243
6,6.335435
7,7.048115
8,7.408777
9,5.374532
10,16.148313
11,14.479470
12,5.107647
13,6.059054
14,10.027536
15,13.031574
16,11.555441
17,12.602880
18,12.485852
19,11.938258
20,6.913727
21,13.626040
22,8.007516
23,6.129902
24,6.234993
25,6.569780
26,7.068204
27,7.142979
28,11.886381
29,5.283528
30,16.185456
31,6.143687
32,6.410669
33,5.240383
34,6.509007
35,10.937185
36,6.383388
37,15.267037
38,5.629977
39,5.724150
40,18.971099
41,16.482770
42,7.620007
43,24.242616
44,9.324981
45,5.687975
46,7.313198
47,5.724295
48,6.077466
49,12.124389
50,5.647633
51,13.341078
52,6.784853
53,24.634731
54,24.512217
55,6.516637
56,5.179015
57,14.715225
58,11.564319
59,7.571216
60,5.580604
61,11.605847
62,6.109092
63,15.290135
64,7.151042
65,6.580930
66,12.868185
67,9.464643
68,16.781336
69,12.355532
70,12.257566
71,6.477250
72,22.398196
73,6.184004
74,5.964547
75,20.096492
76,20.895547
77,6.876294
78,6.412507
79,7.275923
80,23.037386
81,13.093671
82,5.428125
83,5.862341
84,19.616520
85,6.616416
86,7.412739
87,12.781039
88,13.453381
89,8.821873
90,8.377553
91,12.782725
92,6.410804
93,11.374575
94,5.406581
95,6.242315
96,19.857092
97,5.501664
98,6.875327
99,5.514979
100,11.324254
101,11.038705
102,21.751712
103,22.682397
104,17.453087
105,14.901776
106,11.370601
107,12.838589
108,8.298611
109,7.103680
110,7.604080
111,12.421567
112,12.078162
113,11.908039
114,6.328367
115,17.507889
116,7.436066
117,7.847735
118,7.778632
119,11.532060
120,6.334423
121,11.718363
122,6.737546
123,17.619289
124,5.042751
125,11.936303
126,6.227495
127,8.216462
128,6.155099
129,12.342576
130,5.763102
131,19.095221
132,6.944589
133,7.440993
134,12.365759
135,11.862214
136,9.266469
137,6.044960
138,7.146082
139,18.223309
140,6.294422
141,14.445084
142,16.957852
143,17.203573
144,13.934398
145,7.190110
146,20.622190
147,19.295909
148,11.195865
149,7.092714
150,14.258973
151,16.296240
152,14.529504
153,14.953248
154,7.183876
155,7.047631
156,7.560567
157,14.250445
158,10.931111
159,7.672256
160,6.928992
161,13.529085
162,7.073837
163,7.028012
164,5.809835
165,6.682495
166,6.202631
167,10.755908
168,6.175120
169,5.615772
170,13.071209
171,5.814900
172,11.511435
173,7.355327
174,8.830300
175,5.797625
176,10.910627
177,5.043923
178,6.474435
179,11.469907
180,12.879628
181,7.885210
182,6.083535
183,8.014430
184,11.558135
185,7.021101
186,6.462483
187,6.037753
188,6.632567
189,6.266529
190,6.175403
191,17.500218
192,13.708146
193,6.031095
194,5.123328
195,8.584588
196,12.959236
197,5.186515
198,17.738258
199,5.735453
200,5.843602
201,6.701064
