id,importanceSampling
1,6.046426
2,9.749261
3,6.854973
4,16.006904
5,14.455098
6,6.403425
7,7.012866
8,7.562487
9,5.207158
10,15.834713
11,14.507765
12,4.609306
13,6.076743
14,9.987375
15,11.726386
16,10.686537
17,12.407010
18,13.353574
19,12.261596
20,7.235524
21,13.550437
22,8.005280
23,6.164125
24,6.336902
25,6.639830
26,7.159328
27,7.124716
28,11.958806
29,4.832947
30,16.314288
31,6.151746
32,6.539862
33,4.972930
34,6.567057
35,10.186508
36,6.455334
37,15.173086
38,5.488136
39,5.524374
40,19.349016
41,16.227192
42,8.203283
43,25.320019
44,9.071171
45,5.513035
46,7.369405
47,5.208384
48,6.050136
49,13.042754
50,5.639351
51,13.852793
52,6.795077
53,25.048529
54,25.721024
55,6.507304
56,4.814550
57,15.034115
58,11.751526
59,7.471274
60,5.076842
61,11.514949
62,6.439237
63,14.666237
64,7.195263
65,6.603582
66,12.245998
67,9.482015
68,17.667263
69,12.850701
70,12.786495
71,6.584522
72,22.352493
73,6.334260
74,6.009445
75,21.137533
76,21.699767
77,6.918305
78,6.828656
79,7.304457
80,24.171082
81,13.046179
82,5.291513
83,5.441710
84,20.488886
85,6.482035
86,7.415830
87,12.413492
88,13.882082
89,8.900169
90,8.335101
91,12.875644
92,6.493396
93,10.905520
94,5.190014
95,6.283973
96,20.509916
97,5.345075
98,7.109207
99,5.183924
100,10.821965
101,10.642535
102,19.657107
103,22.581174
104,18.549619
105,16.311455
106,11.049629
107,12.103097
108,8.286542
109,7.243904
110,7.897758
111,13.352619
112,11.962582
113,12.277847
114,6.453539
115,16.719596
116,7.549466
117,7.927537
118,7.871382
119,11.222498
120,6.431547
121,13.245949
122,7.064359
123,18.607637
124,4.359881
125,11.746764
126,6.148816
127,8.153930
128,6.420386
129,11.221967
130,5.808246
131,20.229154
132,7.058490
133,7.511844
134,12.809676
135,11.763847
136,9.324938
137,5.991960
138,7.068582
139,18.963070
140,6.297484
141,14.405533
142,17.785521
143,17.052140
144,14.099196
145,7.239254
146,21.245260
147,18.771140
148,11.846099
149,7.277264
150,14.587093
151,20.524141
152,14.947813
153,14.477587
154,7.047633
155,7.056250
156,8.614572
157,12.323732
158,10.441740
159,7.686434
160,6.962732
161,13.877191
162,7.112221
163,7.047786
164,5.858147
165,7.027122
166,6.239671
167,9.647268
168,7.663812
169,5.515031
170,13.568577
171,5.801926
172,10.899004
173,7.683067
174,8.584790
175,5.718910
176,10.951060
177,4.619976
178,6.519198
179,11.595042
180,13.545576
181,7.997081
182,6.081852
183,7.942088
184,12.040405
185,6.984667
186,6.489797
187,6.085153
188,6.669707
189,6.307240
190,6.096695
191,17.787543
192,14.142634
193,6.043593
194,4.416195
195,8.491645
196,14.437405
197,4.552396
198,17.734203
199,5.636486
200,5.822684
201,6.832827
202,5.799960
203,5.827877
204,14.075828
205,14.332802
206,5.741923
207,13.324555
208,5.936905
209,5.991964
210,11.701536
211,17.659073
212,9.941731
213,8.790054
214,13.790015
215,6.731539
216,13.665242
217,10.967653
218,14.597001
219,7.066878
220,10.090901
221,13.037400
222,4.893943
223,6.380808
224,5.948696
225,18.950968
226,6.721170
227,9.844510
228,7.345037
229,5.100666
230,5.091658
231,6.693444
232,16.411222
233,15.004536
234,4.671905
235,7.083978
236,12.647623
237,21.679764
238,25.989562
239,14.991243
240,12.166919
241,6.998584
242,5.468540
243,7.222852
244,20.373922
245,6.695640
246,7.393874
247,5.601262
248,12.880997
249,16.617828
250,5.788175
251,7.103437
252,7.880992
253,6.453293
254,5.324298
255,12.776591
256,6.802025
257,19.443883
258,6.267044
259,17.579096
260,7.238189
261,17.803570
262,19.167286
263,6.552524
264,14.162666
265,5.965475
266,15.852050
267,5.473926
268,6.667519
269,6.252501
270,6.745958
271,9.917477
272,12.305878
273,19.963347
274,5.395062
275,6.377648
276,23.816775
277,11.701672
278,8.185687
279,7.689414
280,6.990800
281,5.302893
282,20.149999
283,16.930034
284,8.178018
285,6.779626
286,11.941128
287,5.328867
288,14.311037
289,18.116580
290,11.644245
291,25.818948
292,24.303416
293,5.655124
294,6.245321
295,8.662020
296,12.529459
297,4.684362
298,7.069742
299,7.565824
300,10.557182
301,20.138977
302,5.152506
303,10.809668
304,14.835427
305,34.908875
306,10.117272
307,6.525659
308,28.131543
309,22.180295
310,11.022024
311,12.341756
312,4.804512
313,11.821778
314,12.493323
315,6.233603
316,4.882327
317,14.598591
318,15.716365
319,13.635105
320,18.229517
321,26.126521
322,9.015968
323,13.637234
324,10.209269
325,30.889863
326,4.534245
327,4.803015
328,12.418198
329,11.576229
330,16.980107
331,14.096476
332,14.185960
333,5.780413
334,6.072233
335,8.451501
336,7.596558
337,9.603347
338,4.989974
339,6.827631
340,20.410325
341,12.061221
342,5.832850
343,6.750295
344,4.993184
345,4.256311
346,6.774924
347,10.069979
348,5.756881
349,27.766047
350,5.870052
351,5.355350
352,6.626120
353,6.773695
354,7.091712
355,5.369639
356,7.264216
357,7.116878
358,5.805718
359,15.890366
360,10.960811
361,24.437765
362,13.459416
363,6.593771
364,5.761535
365,31.156041
366,5.687832
367,12.702878
368,6.343546
369,7.846613
370,13.562099
371,12.581009
372,7.045406
373,13.731805
374,7.223235
375,7.272788
376,6.801564
377,6.818668
378,11.957730
379,8.783216
380,6.161771
381,14.709984
382,7.365492
383,6.321798
384,11.707779
385,13.617675
386,7.708880
387,6.448666
388,4.778006
389,11.613394
390,5.017937
391,6.232110
392,18.935040
393,19.935431
394,15.737902
395,13.803690
396,7.196853
397,6.178864
398,4.613287
399,6.452540
400,5.848394
401,6.617035
402,15.295088
403,6.448311
404,14.745564
405,14.359086
406,6.664535
407,18.991475
408,6.657255
409,5.469241
410,6.892566
411,6.451948
412,5.137100
413,7.277238
414,13.257963
415,7.457918
416,6.306857
417,6.187254
418,14.462000
419,16.178054
420,5.746461
421,4.522824
422,11.558322
423,19.109242
424,21.248463
425,19.387199
426,6.240945
427,21.829177
428,5.173728
429,6.048411
430,4.117505
431,6.477775
432,14.061039
433,13.599905
434,9.087638
435,11.334785
436,32.000512
437,5.382989
438,10.552180
439,10.667888
440,13.151688
441,13.596040
442,6.340307
443,12.142024
444,7.097516
445,11.424276
446,6.656933
447,7.363122
448,20.900323
449,5.602508
450,7.643248
451,26.108342
452,6.803163
453,11.370240
454,7.193287
455,14.029788
456,9.953273
457,17.784406
458,6.635115
459,7.360879
460,6.809309
461,9.648460
462,12.546571
463,23.451953
464,13.858327
465,6.996420
466,5.912405
467,10.857980
468,16.324681
469,15.451150
470,13.305457
471,5.432694
472,14.280138
473,17.925769
474,6.151041
475,19.448227
476,6.946209
477,6.352130
478,7.600821
479,8.568282
480,15.052582
482,5.790440
483,18.501329
484,7.114589
485,6.038296
486,15.161487
487,7.425791
488,13.847906
489,5.840076
490,10.914457
491,7.412284
492,9.496911
493,12.839285
494,4.925678
495,13.738549
496,10.235172
497,5.283500
498,7.663218
499,12.315534
500,6.643038
501,26.564256
502,14.358783
503,19.208974
504,7.896123
505,6.391816
506,27.352455
507,6.414958
508,8.790139
509,6.644101
510,7.522058
511,16.711385
512,7.494057
513,35.556353
514,12.049938
515,6.746188
516,12.948000
517,12.490349
518,12.393535
519,12.744600
520,7.499263
521,7.198886
522,12.073173
523,10.595182
524,6.681718
525,7.034280
526,18.805191
527,7.078630
528,6.436238
529,5.689027
530,6.322141
531,6.086645
532,5.988151
533,15.701922
534,5.340238
535,12.040820
536,16.083164
537,4.554146
538,17.748607
539,16.574772
540,6.930957
541,7.681335
542,10.243189
543,7.180418
544,11.136594
545,16.809707
546,6.857283
547,71.151014
548,10.079781
549,19.898012
550,10.008400
551,14.877817
552,6.601674
553,19.933717
554,17.246226
555,14.409671
556,5.563818
557,7.989542
558,11.347294
559,29.667344
560,10.446161
561,6.936229
562,14.855412
563,7.020761
564,5.674318
565,13.859935
566,5.388990
567,14.108318
568,6.559029
569,5.326896
570,7.466552
571,17.000176
572,6.112547
573,14.232683
574,7.102921
575,7.819269
576,6.500371
577,19.687752
578,6.134193
579,8.796654
580,6.974858
581,4.417252
582,4.215599
583,21.145786
584,6.906494
585,15.647159
586,5.089345
587,5.852216
588,8.072142
589,5.759535
590,13.251168
591,6.601077
592,4.866362
593,6.219080
594,6.413569
595,4.619174
596,18.182107
597,12.652375
598,8.727556
599,5.541997
600,9.610718
601,6.404234
602,12.781973
603,6.133308
604,9.430343
605,5.865131
606,6.142956
607,26.857148
608,6.727462
609,15.468892
610,18.938749
611,5.961034
612,12.925997
613,9.231370
614,7.125057
615,7.265118
616,14.657745
617,7.340272
618,13.902000
619,13.692938
620,7.524912
621,17.622789
622,4.759687
623,13.553339
624,5.625235
625,28.044952
626,5.708743
627,7.335378
628,5.845816
629,13.505661
630,5.752105
631,5.596038
632,19.356279
633,11.558936
634,13.558168
635,5.655980
636,6.870822
637,10.347790
638,8.878011
639,6.121738
640,21.210199
641,7.513471
642,6.690023
643,7.049752
644,13.639111
645,14.873823
646,6.143890
647,12.378267
648,11.328822
649,6.500371
650,11.917797
651,5.805542
652,14.174409
653,6.675505
654,13.601356
655,8.411719
656,4.315840
657,6.224911
658,7.028709
659,6.074675
660,5.747733
661,16.267130
662,6.465927
663,6.866742
664,11.482211
665,8.437677
666,6.594141
667,4.314811
668,14.235162
669,12.149323
670,9.928850
671,7.817732
672,8.670130
673,12.864841
674,5.443010
675,19.423526
676,6.513941
677,7.199825
678,7.241678
679,7.745752
680,7.766502
681,13.114743
682,14.413188
683,10.915421
684,9.872693
685,5.776168
686,5.726372
687,13.986609
688,15.533262
689,20.190494
690,7.078247
691,6.809735
692,5.664364
693,6.269723
694,12.788191
695,18.588659
696,6.892521
697,6.163226
698,13.544783
699,7.319428
700,23.500023
701,14.161770
702,5.011389
703,4.303085
704,15.373374
705,8.781880
706,8.282499
707,13.180766
708,9.374102
709,7.152295
710,14.501641
711,6.971751
712,6.261598
713,19.304496
714,6.668210
715,36.033878
716,6.344954
717,5.666587
718,14.980824
719,5.940009
720,20.828130
721,9.792273
722,7.539631
723,5.778338
724,15.490963
725,6.812360
726,6.682691
727,8.582838
728,21.988426
729,6.611043
730,10.866872
731,4.514715
732,5.950180
733,5.779997
734,12.787477
735,17.172067
736,13.112068
737,9.573138
738,7.423482
739,5.107789
740,16.306996
741,4.980971
742,5.935634
743,35.569389
744,5.474132
745,15.425433
746,17.502904
747,5.088719
748,14.047919
749,5.974073
750,32.774973
751,9.114083
752,7.090491
753,13.067680
754,16.884568
755,36.508979
756,6.047418
757,7.641068
758,8.124535
759,5.127929
760,6.434938
761,6.998020
762,4.193896
763,6.225500
764,14.302846
765,16.088948
766,13.338374
767,14.824507
768,13.563297
769,19.274796
770,6.080579
771,14.342217
772,9.503562
773,19.320501
774,6.548953
775,8.023475
776,6.024202
777,7.897616
778,5.439452
779,5.815038
780,18.831458
781,6.286544
782,5.723601
783,6.277827
784,18.083476
785,12.224584
786,6.757494
787,8.001223
788,17.810878
789,8.218848
790,6.778889
791,28.896695
792,6.214086
793,6.552195
794,6.153682
795,26.171517
796,7.926280
797,6.429576
798,6.038338
799,8.732315
800,7.754403
801,14.398661
802,12.864351
803,13.640492
804,5.187747
805,39.485208
806,7.618235
807,6.417590
808,6.578579
809,6.333153
810,7.805895
811,4.548821
812,15.143800
813,6.662822
814,13.581485
815,7.126809
816,8.011707
817,6.381925
818,4.753955
819,11.011220
820,7.116471
821,16.043316
822,7.124815
823,45.255578
824,6.321048
825,5.358647
826,6.038136
827,13.461906
828,6.744116
829,7.268270
830,7.020304
831,20.580557
832,5.631708
833,4.547174
834,9.822168
835,6.770576
836,6.208292
837,8.808860
838,4.884669
839,5.405413
840,6.609151
841,6.874455
842,6.150074
843,19.687731
844,6.186985
845,10.591526
846,6.215859
847,5.300825
848,5.785647
849,15.130956
850,12.045958
851,6.298285
852,14.703647
853,6.180123
854,17.298907
855,27.130022
856,16.082936
857,13.729032
858,6.459141
859,23.428671
860,16.699021
861,4.498631
862,7.314499
863,6.108838
864,15.344648
865,6.798937
866,14.138210
867,11.415960
868,7.787085
869,6.417238
870,6.551974
871,7.377760
872,11.601315
873,15.966599
874,13.138457
875,12.850603
876,17.210297
877,14.427805
878,11.330848
879,7.309163
880,7.774707
881,5.335022
882,24.442488
883,14.580776
884,13.265173
886,17.971437
887,31.437382
888,14.302149
889,5.807654
890,6.412679
891,6.532229
892,17.327357
893,17.041880
894,6.903706
895,13.163768
896,13.547295
897,7.128272
898,24.377790
899,6.580987
900,11.054210
901,12.633875
902,6.896543
903,6.605202
904,17.133186
905,6.948032
906,12.675580
907,4.415143
908,12.467098
909,19.333735
910,7.624860
911,5.894450
912,14.148765
913,6.837789
914,7.000211
915,11.870666
916,7.094836
917,6.061424
918,10.540473
919,7.633445
920,11.123490
921,4.419627
922,7.323091
923,6.722350
924,16.481330
925,5.079355
926,6.227309
927,6.436475
928,5.286746
929,12.930450
930,12.062546
931,13.851442
932,13.428007
933,10.314812
934,13.838336
935,6.379128
936,11.321339
937,6.096166
938,13.820332
939,13.214332
940,19.475273
941,27.291925
942,6.965891
943,5.880481
944,13.702915
945,6.625975
946,13.680770
947,8.386149
948,9.813375
949,7.845264
950,5.932003
951,5.641997
952,6.538785
953,13.911516
954,7.175746
955,11.456939
956,9.143501
957,6.696123
958,12.506964
959,6.472412
960,6.881305
961,13.520433
