id,importanceSampling
1,6.346981
2,9.783742
3,7.075963
4,17.763032
5,15.001550
6,6.560465
7,7.231045
8,9.043127
9,5.630860
10,17.167645
11,15.226930
12,4.967018
13,6.317079
14,9.761696
15,11.325057
16,10.624171
17,13.620073
18,14.266243
19,12.533847
20,7.589398
21,13.473480
22,7.869024
23,7.327271
24,6.883265
25,6.803111
26,7.568376
27,6.412067
28,13.832280
29,5.838227
30,15.619042
31,6.310647
32,7.154762
33,5.357183
34,6.677107
35,10.260097
36,6.842187
37,14.371221
38,7.339566
39,5.941458
40,19.872360
41,13.509875
42,7.195381
43,25.331061
44,8.920420
45,6.404318
46,8.114204
47,6.683440
48,6.468924
49,13.093679
50,6.156875
51,13.881460
52,7.108563
53,24.044757
54,25.048507
55,6.885617
56,5.055658
57,14.804149
58,12.157326
59,7.455281
60,4.771990
61,10.963962
62,6.760642
63,15.364405
64,7.518086
65,7.605068
66,12.713139
67,13.573290
68,17.841689
69,12.736234
70,12.535242
71,6.814269
72,21.293867
73,6.780381
74,6.189063
75,21.135982
76,23.576431
77,7.197638
78,6.516677
79,7.317185
80,24.176934
81,13.160018
82,5.259029
83,5.088009
84,20.537910
85,6.012654
86,7.150215
87,11.941020
88,13.937827
89,8.274851
90,7.691201
91,14.287692
92,6.760106
93,10.920711
94,5.638916
95,7.094326
96,21.610954
97,5.526405
98,7.462937
99,5.170535
100,9.391631
101,10.724416
102,18.084722
103,23.116006
104,18.619711
105,16.486021
106,11.541283
107,9.736928
108,7.232295
109,5.734423
110,10.457795
111,13.634438
112,12.937186
113,13.534868
114,4.761455
115,15.234648
116,8.198233
117,7.441368
118,7.988864
119,11.455230
120,6.928863
121,11.945985
122,6.940544
123,19.051941
124,4.416269
125,13.770906
126,6.450128
127,8.163293
128,4.666130
129,10.316688
130,5.751041
131,20.973232
132,7.259057
133,8.255778
134,12.829104
135,11.965464
136,9.848937
137,6.253712
138,12.511862
139,19.908678
140,6.537083
141,17.501868
142,18.266749
143,17.149539
144,14.045719
145,6.947204
146,22.891357
147,19.197196
148,12.929417
149,7.857821
150,15.447399
151,21.909922
152,15.808229
153,15.006554
154,6.817225
155,6.982391
156,9.924409
157,11.138081
158,9.733867
159,7.911102
160,7.102375
161,14.392442
162,6.886569
163,7.139428
164,6.542530
165,8.907750
166,6.787721
167,9.524671
168,7.578591
169,5.442090
170,14.209851
171,5.961714
172,9.978741
173,8.162419
174,7.700729
175,6.017208
176,11.132719
177,5.088135
178,7.786222
179,12.910508
180,14.207621
181,8.922605
182,6.206332
183,7.756358
184,12.355768
185,6.813159
186,6.807371
187,6.504386
188,7.493484
189,6.521027
190,6.630676
191,18.785473
192,14.304748
193,6.680068
194,4.317684
195,7.673772
196,15.115456
197,4.689724
198,17.702833
199,5.834028
200,6.135451
201,7.144696
202,6.422123
203,6.050595
204,14.278517
205,15.135906
206,5.472046
207,13.247887
208,6.191522
209,6.474280
210,10.287784
211,17.961772
212,10.181221
213,8.935002
214,13.912640
215,7.529675
216,14.092677
217,12.658648
218,15.041224
219,7.393131
220,9.387323
221,13.386193
222,4.593055
223,6.516312
224,5.835221
225,19.371368
226,6.753135
227,8.392680
228,8.739529
229,5.475833
230,5.376968
231,6.841519
232,18.152666
233,14.606793
234,4.898601
235,7.615129
236,12.218066
237,22.125808
238,22.601251
239,15.645710
240,12.286197
241,7.180091
242,5.583748
243,9.678233
244,19.265403
245,6.929707
246,8.592348
247,5.927627
248,12.806309
249,18.167189
250,6.038657
251,8.026460
252,8.431819
253,6.455064
254,5.762006
255,13.764984
256,7.263267
257,20.622666
258,6.202715
259,14.345473
260,8.723213
261,18.551123
262,18.874934
263,6.757761
264,14.167560
265,6.895688
266,15.751330
267,4.931253
268,7.034442
269,6.018136
270,6.975523
271,9.496667
272,12.425885
273,20.324868
274,5.454462
275,6.562632
276,24.326768
277,11.285970
278,8.719201
279,8.094410
280,7.137901
281,6.305618
282,20.371022
283,13.529151
284,7.377775
285,6.443267
286,12.225525
287,5.740533
288,14.378916
289,18.042190
290,13.400675
291,25.922092
292,24.437165
293,5.927490
294,7.487383
295,7.955323
296,11.944570
297,5.031682
298,8.929995
299,8.977213
300,12.347488
301,20.172630
302,5.865902
303,12.139835
304,14.109747
305,34.667640
306,10.570968
307,6.950474
308,27.274246
309,19.874340
310,12.338937
311,12.879791
312,5.001150
313,10.619562
314,13.068370
315,6.630389
316,5.070419
317,14.793032
318,15.552987
319,13.966485
320,18.393207
321,25.114439
322,7.664608
323,13.779010
324,11.042171
325,31.647564
326,4.366231
327,5.129827
328,12.757549
329,13.057315
330,17.054083
331,14.380919
332,13.805747
333,5.773848
334,6.151424
335,9.544016
336,7.543525
337,9.612059
338,5.358407
339,6.126111
340,20.069008
341,12.329219
342,5.860006
343,6.113454
344,5.369325
345,4.344322
346,7.257373
347,5.428211
348,6.267437
349,28.018032
350,6.019659
351,4.285587
352,8.003149
353,5.411320
354,7.573069
355,5.275975
356,7.476684
357,7.987688
358,6.013453
359,15.792678
360,12.051221
361,25.005352
362,14.436502
363,7.785048
364,5.516314
365,34.713288
366,6.113665
367,12.897486
368,6.579539
369,9.683600
370,13.781510
371,12.756161
372,7.193270
373,14.133595
374,6.572316
375,8.661139
376,6.979485
377,7.988874
378,13.289991
379,5.605135
380,6.898271
381,14.628173
382,7.778402
383,7.284686
