id,importanceSampling
1,6.023909
2,9.423906
3,6.615267
4,14.972699
5,14.673041
6,6.755840
7,7.488213
8,7.620263
9,5.266263
10,15.668096
11,14.448863
12,4.660226
13,6.117329
14,9.518142
15,10.997320
16,10.496238
17,11.734934
18,13.055394
19,12.194029
20,6.844429
21,12.919134
22,7.838134
23,6.282074
24,6.550874
25,6.481210
26,7.212481
27,6.529876
28,11.614692
29,4.942179
30,16.112367
31,6.054542
32,7.057049
33,4.975631
34,6.403971
35,10.885086
36,6.389872
37,15.811037
38,6.066782
39,5.201175
40,18.917329
41,14.794345
42,8.846316
43,24.520590
44,8.471766
45,5.249648
46,7.260374
47,5.283185
48,5.923324
49,12.785902
50,5.801992
51,13.585979
52,6.799552
53,25.933147
54,25.864114
55,6.619523
56,4.797053
57,15.379615
58,11.829313
59,7.544030
60,5.285017
61,11.650362
62,6.248631
63,16.126078
64,6.872513
65,6.128422
66,12.357392
67,8.073374
68,18.065365
69,13.032495
70,12.747618
71,6.582217
72,22.467325
73,5.963262
74,6.491310
75,21.282851
76,21.487975
77,6.854375
78,7.045097
79,7.219045
80,24.433385
81,12.766825
82,5.480214
83,5.911158
84,21.074070
85,5.770000
86,6.732091
87,11.139990
88,13.919946
89,8.707053
90,7.614735
91,13.010535
92,6.423385
93,10.547853
94,5.118975
95,6.067212
96,22.880752
97,5.603261
98,7.640421
99,4.955292
100,9.156845
101,10.803176
102,18.949259
103,21.868089
104,18.442471
105,16.713808
106,11.865947
107,11.039286
108,9.190731
109,7.192375
110,7.367155
111,13.924972
112,11.762672
113,12.130297
114,5.085114
115,18.409356
116,7.084774
117,6.727944
118,7.651366
119,11.239508
120,6.909902
121,11.739326
122,6.443851
123,18.337400
124,4.431348
125,11.112060
126,5.993463
127,8.280634
128,6.111262
129,9.654448
130,5.851892
131,20.575520
132,6.965080
133,6.870543
134,12.426980
135,11.977795
136,9.932954
137,5.862940
138,7.652430
139,18.756686
140,5.891516
141,13.821713
142,17.753871
143,17.835682
144,14.405105
145,7.109901
146,21.253952
147,18.778167
148,11.773148
149,6.684381
150,15.413568
151,20.333275
152,14.888594
153,14.442118
154,6.355556
155,6.763068
156,10.976409
157,12.956512
158,11.486163
159,7.472510
160,7.058630
161,14.237116
162,7.449271
163,6.703824
164,5.716445
165,6.408389
166,6.382946
167,9.569690
168,7.358923
169,5.377357
170,13.276887
171,5.862044
172,9.920582
173,6.627563
174,8.170600
175,5.795097
176,10.756475
177,4.696015
178,6.516369
179,11.393828
180,13.790738
181,8.821222
182,5.930481
183,7.530843
184,11.969147
185,6.641353
186,6.419466
187,5.937168
188,7.022524
189,6.334998
190,5.825614
191,17.575557
192,13.510232
193,6.162855
194,4.071057
195,8.292601
196,14.565408
197,4.888659
198,17.641194
199,5.533935
200,5.847852
201,6.875541
202,5.651383
203,5.852135
204,13.934029
205,13.689162
206,7.454719
207,12.985543
208,5.810747
209,5.625086
210,11.671707
211,17.576478
212,9.520815
213,9.139413
214,13.597739
215,7.023019
216,13.662298
217,10.308694
218,14.677943
219,8.757221
220,10.999721
221,12.947165
222,4.511746
223,6.387817
224,5.518353
225,19.016251
226,6.604956
227,9.164835
228,7.185373
229,4.947643
230,5.178881
231,6.689269
232,16.413185
233,16.102859
234,4.610855
235,5.891843
236,13.107506
237,21.110076
238,25.987874
239,14.967789
240,11.932800
241,6.934014
242,5.531756
243,6.687867
244,19.929111
245,6.528762
246,7.138318
247,5.504850
248,11.906730
249,16.871815
250,5.849790
251,7.651893
252,7.231300
253,6.354096
254,5.285712
255,12.991836
256,6.489669
257,19.293287
258,5.893300
259,15.433437
260,7.699547
261,18.100217
262,18.359568
263,6.273335
264,14.306285
265,5.920281
266,16.016347
267,4.620712
268,6.478870
269,6.566686
270,6.798693
271,9.524742
272,11.830422
273,19.588668
274,5.383385
275,6.404833
276,23.334731
277,11.347442
278,7.344037
279,7.086965
280,6.205440
281,5.181873
282,20.689630
283,16.900097
284,7.796574
285,6.325784
286,11.656875
287,5.238684
288,13.927831
289,18.209422
290,10.691721
291,25.779400
292,27.124166
293,5.623013
294,5.397819
295,8.663201
296,12.327706
297,4.640430
298,6.430599
299,7.521536
300,10.497594
301,20.345256
302,5.020210
303,10.175171
304,14.644102
305,34.438437
306,10.037373
307,6.707719
308,27.851408
309,24.165956
310,10.902269
311,12.140996
312,4.767389
313,12.056046
314,13.161622
315,6.201584
316,4.878957
317,14.808753
318,15.613362
319,13.375154
320,18.360222
321,26.010771
322,8.712370
323,13.646708
324,10.016065
325,31.574132
326,4.191317
327,4.736547
328,12.452215
329,11.564069
330,17.671448
331,14.378231
332,13.748690
333,5.715921
334,5.818927
335,9.036699
336,7.396920
337,8.850745
338,4.985955
339,6.421240
340,20.302812
341,12.044349
342,5.759439
343,6.598610
344,4.941214
345,4.153781
346,7.038060
347,10.301244
348,5.706836
349,27.710107
350,6.080515
351,5.280488
352,6.764126
353,5.865176
354,6.962673
355,5.167790
356,7.489292
357,6.918598
358,5.739523
359,15.080054
360,11.022980
361,25.187466
362,13.414516
363,6.395093
364,5.602175
365,30.085132
366,5.653167
367,12.770425
368,6.088891
369,8.015903
370,13.226239
371,12.424230
372,6.954864
373,14.095154
374,8.099491
375,6.653305
376,6.714231
377,6.700072
378,12.394362
379,8.127508
380,6.632302
381,14.365557
382,7.482674
383,6.454886
384,12.099600
385,12.863972
386,7.883991
387,6.796832
388,4.586068
389,11.572435
390,4.629470
391,6.153870
392,19.753238
393,21.456995
394,15.452547
395,13.535271
396,6.836733
397,6.073484
398,4.543870
399,6.348831
400,5.386548
401,6.600971
402,15.251931
403,6.168235
404,13.624011
405,13.550179
406,6.622106
407,17.824742
408,6.115025
409,5.275681
410,7.365030
411,6.411017
412,5.047767
413,9.214373
414,13.267939
415,7.391690
416,6.229784
417,5.835318
418,14.486473
419,16.880737
420,5.604776
421,4.231122
422,11.466780
423,18.781109
424,21.162940
425,19.700899
426,6.303986
427,20.780922
428,5.083978
429,5.933572
430,4.118325
431,6.238269
432,14.166790
433,13.263912
434,8.527353
435,11.280760
436,31.538544
437,5.511817
438,9.801190
439,10.646386
440,14.593024
441,13.541389
442,6.486336
443,9.236553
444,6.952691
445,10.970306
446,6.621971
447,7.039527
448,22.026519
449,5.537064
450,6.467926
451,25.326262
452,6.495140
453,10.543957
454,6.590992
455,12.928519
456,10.528991
457,17.832975
458,6.313715
459,6.863003
460,6.718689
461,10.128166
462,12.409083
463,22.693864
464,13.956181
465,6.604497
466,5.958575
467,11.227219
468,16.892317
469,14.548598
470,13.206912
471,5.341389
472,14.434001
473,17.490435
474,6.007726
475,19.466638
476,6.899405
477,6.297087
478,7.112510
479,8.513177
480,15.133061
482,5.662291
483,17.157058
484,7.126615
485,5.963346
486,14.672877
487,7.575320
488,13.970041
489,5.606899
490,10.576305
491,7.355598
492,9.244475
493,13.015119
494,4.877524
495,13.689385
496,10.011198
497,5.127841
498,7.906498
499,12.399069
500,6.497278
501,22.770518
502,14.186454
503,19.764106
504,7.381365
505,6.340928
506,27.021540
507,6.405899
508,8.072995
509,6.800793
510,7.179263
511,16.566982
512,7.791337
513,34.604220
514,12.041431
515,6.768984
516,12.646318
517,12.666802
518,11.873144
519,12.653061
520,8.122556
521,6.865621
522,11.997117
523,10.576614
524,6.953074
525,6.941228
526,18.106859
527,7.170165
528,6.266075
529,5.641245
530,6.091153
531,7.000632
532,5.993128
533,15.541632
534,5.076974
535,12.040270
536,15.569652
537,4.414780
538,17.142923
539,16.390694
540,7.025387
541,7.986960
542,9.409297
543,7.631902
544,11.317005
545,16.516436
546,6.485827
547,69.365636
548,10.080824
549,19.682958
550,8.887990
551,14.978022
552,6.798103
553,20.229227
554,16.447787
555,15.390330
556,5.633733
557,8.300610
558,11.761748
559,29.600475
560,10.713141
561,6.343320
562,14.996965
563,6.942421
564,5.433054
565,14.295972
566,5.196077
567,13.295882
568,6.575243
569,5.634077
570,7.285579
571,16.551596
572,6.052850
573,12.130325
574,6.083662
575,7.251757
576,6.392826
577,20.891040
578,6.172827
579,8.588572
580,6.891345
581,4.407269
582,4.579119
583,21.141630
584,7.124152
585,14.413733
586,5.092041
587,5.660967
588,8.417194
589,5.706428
590,12.902059
591,6.325081
592,4.863717
593,6.185092
594,6.531336
595,4.447440
596,18.111701
597,10.549802
598,8.121084
599,6.712328
600,9.801146
601,6.123300
602,13.592014
603,6.206888
604,9.719593
605,5.877107
606,5.841365
607,21.904640
608,7.144983
609,16.097573
610,19.292596
611,5.963189
612,12.334426
613,8.186353
614,7.317372
615,7.154403
616,14.307075
617,7.352983
618,15.176874
619,13.197576
620,6.583770
621,17.185171
622,4.697886
623,13.138293
624,5.357945
625,26.985514
626,5.555240
627,7.155570
628,5.432642
629,13.347153
630,6.567749
631,5.769475
632,19.280572
633,11.511722
634,14.067123
635,5.473770
636,7.121693
637,10.581173
638,8.611900
639,6.457010
640,20.733053
641,7.724405
642,6.971707
643,7.399567
644,12.592163
645,13.925196
646,5.727819
647,12.253311
648,12.727900
649,6.596726
650,11.087026
651,5.883831
652,14.068078
653,6.078352
654,14.004119
655,8.291447
656,4.559822
657,6.686113
658,7.979700
659,5.772609
660,5.389428
661,16.322154
662,6.324717
663,5.628306
664,11.700484
665,7.581852
666,6.592467
667,4.632970
668,13.245756
669,12.102220
670,9.901361
671,8.489471
672,8.652006
673,12.687535
674,5.548121
675,19.758618
676,6.228097
677,7.275471
678,7.341496
679,7.371618
680,7.090175
681,13.425043
682,14.816642
683,10.163209
684,9.942042
685,5.621651
686,5.991140
687,12.902469
688,14.898804
689,20.093478
690,6.799668
691,6.932335
692,5.619537
693,6.590485
694,12.690227
695,18.202933
696,6.670772
697,6.393283
698,13.745113
699,7.256315
700,23.217752
701,13.973919
702,5.100602
703,4.092097
704,13.737331
705,8.490903
706,11.275557
707,12.488772
708,9.455533
709,7.434857
710,14.685007
711,6.938543
712,6.200700
713,19.120330
714,6.635273
715,35.795146
716,6.633016
717,5.546260
718,14.721370
719,5.289711
720,21.140357
721,9.665071
722,7.221216
723,6.005095
724,15.308339
725,6.406828
726,6.671975
727,9.812728
728,22.244182
729,6.513286
730,10.488481
731,4.380311
732,5.991537
733,5.653995
734,13.123765
735,18.464427
736,12.944666
737,8.581127
738,7.412515
739,5.074071
740,17.890330
741,4.309101
742,5.896149
743,35.367139
744,5.372102
745,15.444510
746,17.641059
747,5.117264
748,14.171115
749,5.899563
750,30.550475
751,9.083840
752,6.736681
753,12.925134
754,15.887293
755,36.500670
756,6.048035
757,7.275354
758,7.947111
759,5.002745
760,6.456667
761,6.586665
762,4.031842
763,6.404525
764,14.422392
765,15.555625
766,13.896096
767,14.665478
768,13.032101
769,19.089435
770,6.159844
771,14.578259
772,8.437320
773,19.956308
774,7.009264
775,9.063336
776,6.858542
777,8.058810
778,5.094462
779,5.411558
780,19.125839
781,6.218200
782,5.732350
783,6.531496
784,17.681824
785,12.474598
786,6.872260
787,7.856914
788,18.009899
789,7.663363
790,6.313401
791,28.784870
792,5.904748
793,6.486532
794,6.221026
795,26.713479
796,9.109788
797,6.574511
798,5.950951
799,7.870459
800,7.025295
801,14.455201
802,12.843522
803,14.284800
804,5.218083
805,40.820047
806,7.503920
807,6.437242
808,6.094238
809,6.689331
810,7.866555
811,4.188520
812,15.085090
813,6.596039
814,14.441588
815,6.970206
816,7.355123
817,6.119865
818,4.757654
819,10.881577
820,7.100399
821,16.041601
822,7.111204
823,45.715379
824,6.759306
825,5.342115
826,6.021605
827,12.480686
828,6.372430
829,7.339473
830,7.117943
831,22.119921
832,5.734224
833,4.745070
834,9.791136
835,6.805965
836,7.062170
837,8.343960
838,4.882517
839,5.346719
840,6.080218
841,6.847629
842,6.121028
843,19.700708
844,5.964785
845,10.452309
846,6.097339
847,5.266845
848,5.700274
849,12.867908
850,11.881337
851,6.190318
852,17.246496
853,6.715595
854,17.082652
855,26.580451
856,15.793495
857,13.824131
858,6.367191
859,23.609459
860,16.738019
861,4.477493
862,7.487840
863,5.939109
864,14.373672
865,6.713027
866,13.872613
867,10.763186
868,7.547094
869,6.308577
870,5.906297
871,7.159667
872,11.125681
873,16.426336
874,13.407385
875,13.397682
876,16.472048
877,14.968073
878,11.332779
879,7.041351
880,7.540857
881,5.277504
882,25.080528
883,14.443593
884,12.745434
886,17.880222
887,30.662419
888,14.149927
889,5.834991
890,6.652011
891,6.677567
892,17.100249
893,16.696761
894,6.883709
895,13.566207
896,14.329008
897,6.998458
898,24.170525
899,6.389922
900,10.770187
901,12.504466
902,6.466648
903,6.260582
904,17.991212
905,6.955166
906,12.804450
907,4.052190
908,12.336792
909,19.110514
910,7.026671
911,5.012979
912,15.077919
913,5.540409
914,6.468538
915,11.527908
916,6.871268
917,6.121473
918,11.003044
919,6.411672
920,11.247261
921,4.381336
922,6.799039
923,6.629433
924,16.752047
925,4.912541
926,6.183306
927,6.514863
928,5.514934
929,12.856415
930,12.219878
931,13.082803
932,13.447439
933,10.258314
934,14.307981
935,6.465077
936,11.182973
937,6.162503
938,13.572989
939,12.485131
940,19.538532
941,26.784815
942,6.889587
943,5.260647
944,13.992604
945,6.285996
946,14.329149
947,8.370369
948,9.852970
949,7.223825
950,5.834847
951,5.193629
952,6.623713
953,13.806106
954,7.339962
955,11.698316
956,8.027917
957,5.899847
958,12.465694
959,6.012595
960,6.465879
961,14.210164
962,19.417556
963,11.796682
964,17.500728
965,4.685227
966,21.391406
967,11.859202
968,24.619209
969,5.818568
970,5.853417
971,20.039222
972,4.975575
973,12.381871
974,8.938608
975,6.066974
976,6.542190
977,15.407403
978,7.377437
979,7.076948
980,15.278829
981,6.959841
982,6.525556
983,13.314033
984,21.434817
985,11.695801
987,7.686079
988,14.449621
989,11.578219
990,6.202333
991,12.698813
992,6.036150
993,15.574112
994,14.712929
995,6.482227
996,7.223410
997,12.645789
998,13.849363
999,9.732773
1000,4.730641
1001,12.445166
1002,12.385726
1003,8.812661
1004,6.846795
