id,importanceSampling
1,6.001568
2,9.414013
3,6.595845
4,14.689066
5,14.602847
6,6.728465
7,7.524839
8,7.652384
9,5.263700
10,15.640249
11,14.295774
12,4.732089
13,6.102575
14,9.926491
15,10.859159
16,10.557869
17,11.484160
18,13.061978
19,12.161556
20,6.838562
21,12.753129
22,7.945720
23,6.264842
24,6.575758
25,6.460895
26,7.194429
27,6.515952
28,11.589204
29,4.935426
30,16.152623
31,6.039519
32,6.954426
33,4.966905
34,6.386419
35,11.028916
36,6.370870
37,15.742996
38,6.090436
39,5.180032
40,18.891960
41,14.590084
42,8.854298
43,24.499815
44,8.384741
45,5.231195
46,7.357616
47,5.255178
48,5.894427
49,12.781240
50,5.726249
51,13.606681
52,6.806061
53,25.985819
54,26.140348
55,6.655736
56,4.754428
57,15.281474
58,11.702671
59,7.710311
60,5.309079
61,11.543803
62,6.159009
63,16.580873
64,6.853169
65,6.105559
66,12.448464
67,7.989119
68,17.979609
69,13.064615
70,12.742736
71,6.582951
72,22.363010
73,5.956866
74,6.397452
75,21.049859
76,21.526203
77,6.881799
78,6.913924
79,7.097854
80,24.447978
81,12.520992
82,5.439027
83,5.970387
84,21.242303
85,5.706782
86,6.696599
87,11.074819
88,13.898645
89,8.672161
90,7.513201
91,12.836369
92,6.405079
93,10.555593
94,5.086763
95,6.096121
96,23.091746
97,5.707683
98,7.598337
99,4.923564
100,8.970549
101,10.884641
102,19.500941
103,21.820561
104,18.442816
105,16.724848
106,11.810631
107,10.825798
108,9.202496
109,7.151588
110,7.309367
111,13.961716
112,11.768315
113,12.139880
114,5.017895
115,18.492804
116,6.947424
117,6.652421
118,7.539939
119,11.292743
120,6.959599
121,11.625026
122,6.431860
123,18.344335
124,4.418721
125,11.019829
126,5.962485
127,8.322890
128,6.220942
129,9.558939
130,5.801016
131,20.560430
132,6.949028
133,6.868283
134,12.372234
135,11.943191
136,10.170090
137,5.837892
138,7.621515
139,18.644838
140,5.863781
141,13.687391
142,17.773938
143,17.942885
