id,importanceSampling
1,5.993733
2,9.387136
3,6.617757
4,14.366992
5,14.592304
6,6.666251
7,7.672599
8,7.619857
9,5.175075
10,15.627120
11,14.293614
12,4.888301
13,6.103795
14,10.568051
15,10.908814
16,10.724672
17,11.252738
18,13.036932
19,12.141632
20,6.854495
21,12.664932
22,8.422639
23,6.212770
24,6.530783
25,6.460698
26,7.090802
27,6.509634
28,11.580324
29,4.915404
30,16.282428
31,6.159491
32,6.865563
33,4.962025
34,6.399480
35,10.863523
36,6.399971
37,15.381291
38,5.996502
39,5.168339
40,18.905297
41,14.308817
42,8.676046
43,24.353858
44,8.300864
45,5.210983
46,7.388041
47,5.034692
48,5.827087
49,12.775284
50,5.689725
51,13.600516
52,6.789519
53,26.152537
54,26.344152
55,6.627175
56,4.736862
57,15.172106
58,11.579481
59,7.882728
60,5.250929
61,11.530446
62,6.093089
63,16.631889
64,6.750332
65,6.097749
66,12.496975
67,7.992611
68,17.686558
69,12.911730
70,12.787877
71,6.610231
72,22.160748
73,6.048003
74,6.352630
75,20.719947
76,21.702684
77,6.891538
78,6.687154
79,6.985368
80,24.207403
81,12.299797
82,5.317757
83,5.966454
84,21.274511
85,5.710366
86,6.634699
87,11.194169
88,13.879888
89,8.479908
90,7.733916
91,12.698693
92,6.414772
93,10.615125
94,5.095335
95,6.097837
96,22.851811
97,5.746420
98,7.535364
99,4.931594
100,8.889696
101,10.904953
102,20.707024
103,21.891052
104,18.358985
105,16.835121
106,11.529804
107,10.870975
108,8.932865
109,6.970888
110,7.350234
111,13.888084
112,11.614386
113,12.185781
114,4.913115
115,18.698030
116,6.823813
117,6.512855
118,7.381228
119,11.317348
120,6.936145
121,11.705566
122,6.483804
123,18.447237
124,4.359756
125,10.908725
126,5.900818
127,8.407850
128,6.367294
129,9.548393
130,5.794011
131,20.407702
132,6.928787
133,6.956711
134,12.353041
135,11.844796
136,10.233458
137,5.831655
138,7.525261
139,18.523830
140,5.852651
141,13.704779
142,17.803940
143,17.917798
144,13.767555
145,7.146384
146,20.856809
147,18.867253
148,11.828635
149,6.732049
150,15.355435
151,20.319245
152,14.809137
153,14.453290
154,6.217416
155,6.726370
156,11.148826
157,13.164876
158,11.271239
159,7.385634
160,6.774815
161,14.204302
162,7.439444
163,6.707900
164,5.576604
165,6.429693
166,6.314379
167,9.487109
168,8.226576
169,5.379770
170,13.326403
171,5.826580
172,9.470119
173,6.692495
174,7.969939
175,5.728240
176,10.752433
177,4.658374
178,6.467709
179,11.425589
180,13.883713
181,8.577869
182,5.911292
183,7.561390
184,11.896147
185,6.600038
186,6.400577
187,5.857795
188,6.734253
189,6.284785
190,5.776689
191,17.533110
192,13.472342
193,6.227431
194,4.112678
195,8.311644
196,14.947852
197,5.034454
198,17.659947
199,5.534903
200,5.901274
201,7.095162
202,5.628945
203,5.854987
204,13.849790
205,13.663196
206,7.459530
207,13.195818
208,5.800023
209,5.536613
210,11.455337
211,17.475945
212,9.501207
213,9.093768
214,13.555350
215,6.900252
216,13.596328
217,10.255780
218,14.924350
219,8.775018
220,10.892034
221,12.862810
222,4.551354
223,6.449216
224,5.530263
225,19.043259
226,6.683913
227,8.819463
228,7.162741
229,4.925168
230,5.119878
231,6.760530
232,16.578856
233,15.931964
234,4.651553
235,5.616773
236,13.077606
237,21.553583
238,26.616632
239,14.929595
240,11.846157
241,6.916422
242,5.545999
243,6.842716
244,19.838256
245,6.384235
246,7.123578
247,5.513320
248,11.644088
249,16.935120
250,5.774596
251,8.406180
252,7.192202
253,6.365419
254,5.339207
255,12.806419
256,6.329934
257,19.272552
258,5.804708
259,16.535421
260,7.667862
261,17.984778
262,17.899357
263,6.287974
264,13.957185
265,5.914951
266,15.860592
267,4.427010
268,6.466674
269,7.044787
270,6.941878
271,9.627027
272,11.765598
273,19.632672
274,5.324395
275,6.355732
276,23.718477
277,11.906318
