id,importanceSampling
1,6.010130
2,9.423757
3,6.623979
4,14.327883
5,14.490971
6,6.638187
7,7.558286
8,7.641230
9,5.201641
10,15.675567
11,14.235448
12,4.940170
13,6.111609
14,10.751754
15,10.887067
16,10.699240
17,11.253141
18,12.997334
19,12.170973
20,6.769552
21,12.701094
22,8.427124
23,6.273205
24,6.571780
25,6.491345
26,7.092129
27,6.503301
28,11.633349
29,4.956114
30,16.160315
31,6.175990
32,6.819976
33,4.961978
34,6.423044
35,10.914229
36,6.392988
37,15.339787
38,6.114839
39,5.120513
40,18.951225
41,14.202135
42,8.584773
43,24.477986
44,8.144203
45,5.241381
46,7.330666
47,4.996396
48,5.821366
49,12.839812
50,5.657488
51,13.539392
52,6.794327
53,26.209334
54,26.373780
55,6.628517
56,4.757358
57,15.079427
58,11.607027
59,8.135830
60,5.226502
61,11.745801
62,6.115406
63,16.842188
64,6.772396
65,6.097164
66,12.490406
67,7.946836
68,17.550194
69,12.895131
70,12.862262
71,6.582848
72,22.216281
73,6.069904
74,6.303531
75,20.815098
76,21.607250
77,6.881679
78,6.743304
79,6.992582
80,24.295669
81,12.275359
82,5.315656
83,6.061300
84,21.253799
85,5.710902
86,6.625671
87,11.158261
88,13.958261
89,8.625279
90,7.661122
91,12.664146
92,6.431134
93,10.650552
94,5.127109
95,6.122541
96,23.081111
97,5.821813
98,7.436659
99,4.967084
100,8.954606
101,10.941612
102,20.855881
103,21.825530
104,18.425419
105,16.945986
106,11.598957
107,10.887707
108,8.835648
109,6.951119
110,7.681578
111,13.926239
112,11.648002
113,12.212790
114,4.863418
115,18.454090
116,6.770849
117,6.513808
118,7.284772
119,11.316517
120,6.898269
121,11.727412
122,6.416543
123,18.516640
124,4.354247
125,10.938685
126,5.861359
127,8.433453
128,6.255784
129,9.570243
130,5.833265
131,20.384343
132,6.933689
133,6.905938
134,12.354870
135,11.869268
136,10.354939
137,5.856461
138,7.335266
139,18.477092
140,5.838767
141,13.731383
142,17.847086
143,17.976029
144,13.630872
145,7.202287
146,20.963748
147,18.920210
148,11.838083
149,6.798941
150,15.250274
151,20.253132
152,14.856201
153,14.381930
154,6.145460
155,6.723833
156,11.163300
157,13.084110
158,11.345631
159,7.420881
160,6.738156
161,14.220170
162,7.419761
163,6.702850
164,5.575119
165,6.480462
166,6.366361
167,9.494101
168,8.163947
169,5.412855
170,13.311814
171,5.876851
172,9.371241
173,6.693766
174,7.921334
175,5.755918
176,10.727148
177,4.685088
178,6.531278
179,11.332444
180,13.869788
181,8.600428
182,5.922026
183,7.499761
184,11.921242
185,6.618118
186,6.411814
187,5.877918
188,6.775551
189,6.309656
190,5.731640
191,17.541130
192,13.472800
193,6.195922
194,4.110356
195,8.214142
196,14.919453
197,4.974659
198,17.538652
199,5.548825
200,5.926096
201,7.068403
202,5.651984
203,5.948298
204,13.909348
205,13.716594
206,7.657964
207,13.177737
208,5.819740
209,5.510633
210,11.532412
211,17.523025
212,9.521435
213,8.975032
214,13.400352
215,6.896143
216,13.648375
217,10.224231
218,14.975306
219,8.827282
220,10.686162
221,12.831002
222,4.575032
223,6.393207
224,5.565164
225,19.100614
226,6.681753
227,8.817037
228,7.078087
229,4.953716
230,5.181750
231,6.780024
232,16.902582
233,16.055462
234,4.675522
235,5.644965
236,13.030052
237,21.473594
238,26.843831
239,15.014660
240,11.864663
241,6.937881
242,5.594172
243,7.022964
244,19.832484
245,6.376317
246,7.158323
247,5.477648
248,11.556607
249,17.043926
250,5.815522
251,8.417875
252,7.127673
253,6.361186
254,5.370907
255,12.830964
256,6.365872
257,19.309912
258,5.812146
259,16.857006
260,7.700482
261,18.064790
262,17.940903
263,6.296545
264,13.986070
265,5.949044
266,15.842267
267,4.449767
268,6.452894
269,7.129438
270,6.898126
271,9.465966
272,11.745449
273,19.657830
274,5.327834
275,6.370216
276,23.728994
277,11.998332
278,6.860333
279,7.210941
280,6.243913
281,5.180613
282,20.510873
283,17.576691
284,7.593386
285,6.462438
286,11.716457
287,5.294664
288,13.957169
289,18.198072
290,10.451701
291,25.601252
292,27.344891
293,5.575987
294,5.359856
295,8.338524
296,11.740471
297,4.712541
298,6.436217
299,7.668963
300,10.489163
301,19.812816
302,4.994173
303,9.946302
304,14.999557
305,34.398119
306,10.019791
307,6.834912
308,27.753217
309,24.332484
310,11.116249
311,11.654775
312,4.711568
313,11.796834
314,12.989972
315,6.192915
316,4.886294
317,14.772462
318,15.701807
319,13.358250
320,18.486240
321,25.561255
322,8.475805
323,13.551199
324,9.959056
325,31.397648
326,4.302019
327,4.767971
328,12.345290
329,11.537326
330,18.699211
331,14.138805
332,13.607986
333,5.636563
334,5.874337
335,9.061210
336,7.412091
337,9.094046
338,4.973817
339,6.555475
340,20.517997
341,12.064279
342,5.787574
343,6.120126
344,5.025787
345,4.091117
346,6.937507
347,9.183671
348,5.704078
349,27.625271
350,6.186005
351,5.380474
352,6.627501
353,5.584447
354,6.963491
355,5.215450
356,7.154517
357,6.980110
358,5.733732
359,15.185649
360,11.094020
361,25.547549
362,13.395375
363,6.521997
364,5.305706
365,30.427959
366,5.667868
367,12.596805
368,6.245735
369,8.315447
370,13.223855
371,12.400600
372,6.952494
373,14.395410
374,7.843308
375,6.667613
376,6.561490
377,6.571882
378,12.552754
379,6.551832
380,6.530374
381,14.406082
382,7.459956
383,6.230428
384,11.762354
385,13.239004
386,7.867370
387,6.811072
388,4.610745
389,11.305972
390,4.551622
391,6.141715
392,20.107301
393,21.512283
394,14.787876
395,13.247111
396,6.826467
397,6.051179
398,4.507119
399,6.336956
400,5.228188
401,6.553514
402,15.224003
403,6.245636
404,13.684674
405,13.361821
406,7.279954
407,17.104710
408,6.385040
409,5.260578
410,7.028492
411,6.341382
412,4.937520
413,9.010016
414,13.115083
415,7.370211
416,6.258977
417,5.740942
418,14.491652
419,15.504918
420,5.586330
421,4.254663
422,11.351260
423,18.483158
424,19.466124
425,19.426187
426,6.858089
427,20.695367
428,5.092531
429,5.912157
430,4.148469
431,6.193345
432,14.095676
433,13.283441
434,8.789199
435,11.328475
436,31.220181
437,5.637257
438,9.875488
439,10.698681
440,14.047502
441,13.438799
442,6.217533
443,9.305272
444,7.263610
445,10.689000
446,6.691621
447,6.369047
448,22.225823
449,5.514219
450,6.637362
451,25.157721
452,6.179501
453,10.509768
454,6.636500
455,12.861667
456,10.070354
457,18.023812
458,6.148246
459,6.831492
460,6.772359
461,10.261259
462,12.375418
463,22.107376
464,13.323773
465,6.705568
466,5.896447
467,10.942096
468,16.935624
469,14.463173
470,13.178640
471,5.376519
472,14.702374
473,17.443928
474,5.963381
475,18.717287
476,6.920547
477,6.318230
478,6.746217
479,8.735580
480,14.969647
482,5.553165
483,16.355120
484,7.095160
485,6.034637
486,14.945752
487,7.581475
488,13.816831
489,5.605532
490,10.692191
491,7.179890
492,8.975995
493,13.223353
494,4.956102
495,13.999165
496,10.022176
497,5.352279
498,8.001047
499,12.210483
500,6.478834
501,22.177785
502,14.245777
503,19.457742
504,7.499793
505,6.457400
506,27.087343
507,6.286654
508,7.975960
509,6.785903
510,7.085887
511,16.514300
512,7.735365
513,35.123490
514,11.955354
515,7.019571
516,12.465287
517,12.647326
518,11.894376
519,12.633896
520,8.096451
521,6.847186
522,12.006801
523,10.477936
524,6.788910
525,6.972913
526,18.051859
527,7.608470
528,6.402670
529,5.590664
530,6.172457
531,6.778940
532,5.969012
