id,importanceSampling
1,6.003475
2,9.428240
3,6.621883
4,14.293038
5,14.477248
6,6.607178
7,7.528341
8,7.631382
9,5.224729
10,15.676481
11,14.303903
12,4.978296
13,6.093786
14,10.799187
15,10.829531
16,10.661279
17,11.310977
18,12.999637
19,12.170224
20,6.767729
21,12.725369
22,8.346907
23,6.301051
24,6.568107
25,6.473681
26,7.070384
27,6.549301
28,11.640428
29,4.989836
30,16.201156
31,6.157459
32,6.756961
33,4.948472
34,6.420235
35,10.937421
36,6.386625
37,15.229227
38,6.126406
39,5.095200
40,18.890818
41,14.283516
42,8.621051
43,24.507096
44,8.104630
45,5.236104
46,7.281701
47,4.905953
48,5.801044
49,12.963350
50,5.629629
51,13.509798
52,6.813321
53,26.169121
54,26.400125
55,6.595040
56,4.749522
57,15.054416
58,11.612924
59,8.216760
60,5.216255
61,11.858454
62,6.135819
63,16.851768
64,6.747675
65,6.092033
66,12.530842
67,7.902177
68,17.517003
69,12.896757
70,12.884302
71,6.558559
72,22.297322
73,6.073333
74,6.352350
75,20.782304
76,21.469421
77,6.855312
78,6.824084
79,7.001928
80,24.341666
81,12.305179
82,5.342235
83,6.033164
84,21.123647
85,5.708392
86,6.639369
87,11.291102
88,13.962778
89,8.665977
90,7.725424
91,12.634458
92,6.425081
93,10.641991
94,5.124657
95,6.121453
96,22.847699
97,5.822898
98,7.490068
99,4.969583
100,8.993651
101,10.999787
102,20.909446
103,21.812730
104,18.462692
105,16.835494
106,11.681688
107,11.101957
108,8.815714
109,7.061653
110,7.768813
111,13.895015
112,11.654867
113,12.194571
114,4.916375
115,18.301009
116,6.753128
117,6.550999
118,7.277113
119,11.322399
120,6.889496
121,11.929543
122,6.430292
123,18.572805
124,4.375521
125,10.942019
126,5.840990
127,8.437722
128,6.294917
129,9.621751
130,5.859179
131,20.390955
132,6.929270
133,6.897100
134,12.347957
135,11.864797
136,10.297990
137,5.838907
138,7.190958
139,18.422184
140,5.823843
141,13.684794
142,17.821595
143,17.981782
144,13.643965
145,7.269756
146,20.887045
147,18.851701
148,11.809143
149,6.820624
150,15.131264
151,20.147707
152,14.854917
153,14.359221
154,6.215544
155,6.729208
156,11.047385
157,13.025066
158,11.391711
159,7.454952
160,6.707976
161,14.167822
162,7.410503
163,6.701919
164,5.553048
165,6.531742
166,6.367260
167,9.469335
168,8.076229
169,5.449373
170,13.386027
171,5.891978
172,9.354100
173,6.674483
174,7.944704
175,5.750160
176,10.734253
177,4.671120
178,6.535479
179,11.303653
180,13.826999
181,8.477481
182,5.922377
183,7.504640
184,11.928516
185,6.638494
186,6.395931
187,5.879257
188,6.762006
189,6.313212
190,5.714679
191,17.534606
192,13.447247
193,6.174141
194,4.126056
195,8.252876
196,14.717387
197,4.938454
198,17.535036
199,5.539102
200,5.896352
201,7.040228
202,5.643326
203,5.955108
