id,importanceSampling
1,6.666156
2,10.979893
3,7.435253
4,14.752356
5,15.251248
6,6.805584
7,8.070122
8,8.926809
9,5.798680
10,17.201342
11,15.449474
12,5.216186
13,6.346184
14,9.304487
15,15.075800
16,11.621208
17,13.447762
18,12.882305
19,12.573384
20,7.103924
21,13.688121
22,8.054178
23,7.526938
24,6.624261
25,6.830677
26,7.101028
27,6.676989
28,14.127697
29,5.711175
30,15.789403
31,6.833098
32,7.267149
33,5.654762
34,6.991889
35,11.774256
36,6.852821
37,16.706120
38,6.529951
39,8.556433
40,22.322986
41,13.543167
42,6.796812
43,25.757556
44,8.595173
45,6.477296
46,7.695440
47,9.543935
48,6.167328
49,12.362850
50,6.065388
51,13.787816
52,7.322881
53,23.136966
54,23.726274
55,7.057564
56,5.475786
57,14.294089
58,12.151051
59,6.776853
60,5.188343
61,11.195129
62,6.848476
63,15.553537
64,8.106985
65,7.249023
66,14.085322
67,10.056172
68,17.546829
69,12.474421
70,12.151953
71,6.792906
72,22.397460
73,6.629270
74,6.271041
75,20.732784
76,21.935848
77,6.632488
78,6.469449
79,7.494695
80,23.587722
81,13.228128
82,5.285386
83,5.696855
84,20.556926
85,6.610587
86,6.468134
87,13.761865
88,14.323596
89,7.413609
90,7.342100
91,15.790826
92,6.843439
93,11.602185
94,6.363147
95,6.949012
96,21.039877
97,5.937664
98,7.310077
99,5.445559
100,11.337220
101,11.300282
102,20.785852
103,23.468615
104,17.983167
105,16.960707
106,12.504378
107,11.622493
108,6.676594
109,6.003272
110,9.120677
111,12.703089
112,13.315700
113,14.800442
114,4.966269
115,16.287113
116,7.384703
117,6.885921
118,8.141696
119,11.708985
120,6.975273
121,11.925493
122,6.372817
123,19.111001
124,5.055723
125,13.840254
126,7.037287
127,8.475469
128,4.877099
129,12.663481
130,6.608396
131,19.855364
132,7.467550
133,7.722865
134,12.735344
135,12.250064
136,9.358283
137,6.495958
138,10.090214
139,20.611071
140,6.438970
141,17.304006
142,18.032093
143,17.879910
144,13.563273
145,6.982583
146,23.599427
147,20.099786
148,11.667548
149,7.604388
150,15.340239
151,18.447252
152,15.620963
153,15.964852
154,9.234485
155,7.237590
156,10.786956
157,15.330138
158,10.731611
159,8.761135
160,7.246394
161,14.654316
162,6.428728
163,7.508910
164,6.349571
165,8.832523
166,6.955092
167,10.774019
168,6.312823
169,5.532453
170,13.240513
171,6.252274
172,10.452165
173,8.697391
174,7.797465
175,6.088890
176,11.322799
177,5.325912
178,6.446923
179,12.131040
180,13.804210
181,9.187415
182,6.585234
183,7.873604
184,12.058986
185,6.846296
186,7.028534
187,6.421144
188,7.136030
189,7.001885
190,7.793618
191,20.294727
192,15.511782
193,6.760028
194,4.958531
195,9.892495
196,13.378294
197,5.126109
198,17.631045
199,6.060070
200,6.480214
201,7.222671
202,6.642427
203,6.212448
204,14.314981
205,14.702643
206,5.645169
207,14.769328
208,6.286882
209,7.640456
210,11.363352
211,18.330958
212,13.046126
213,7.911021
214,11.916871
215,7.878392
216,13.993564
217,14.807768
218,15.301833
219,7.052546
220,9.745652
221,13.996568
222,5.391279
223,6.115374
224,5.984809
225,19.219079
226,6.648963
227,9.582003
228,7.833090
229,5.814181
230,5.515317
231,7.392246
232,18.593702
233,13.939407
234,5.331067
235,8.384540
236,12.029480
237,19.456648
238,23.287279
239,16.686678
240,12.175675
241,7.503607
242,5.822752
243,7.674177
244,18.970591
245,8.120515
246,9.852842
247,6.173874
248,12.475610
249,19.520262
250,6.151088
251,7.021096
252,8.110294
253,7.083041
254,6.206549
255,13.341166
256,7.256999
257,19.660793
258,6.318324
259,15.396931
260,10.258039
261,19.024815
262,18.844346
263,6.841033
264,13.896329
265,7.847821
266,16.341384
267,5.248350
268,7.033299
269,6.560252
270,6.983883
271,9.214274
272,12.428833
273,19.410488
274,6.201917
275,6.700321
276,22.221795
277,11.540543
278,8.341797
279,7.710305
280,6.752526
281,6.039488
282,18.995659
283,13.695643
284,7.122447
285,6.831825
286,12.482787
287,5.993396
288,13.145637
289,17.883571
290,13.853049
291,25.484651
292,27.373815
293,6.695906
294,7.994538
295,6.869151
296,11.730080
297,5.318515
298,7.955307
299,7.421948
300,10.752048
301,20.000918
302,5.726865
303,14.989613
304,15.412392
305,33.442240
306,11.066514
307,7.671520
308,24.835183
309,19.603241
310,12.100508
311,14.361023
312,5.551342
313,10.676144
314,13.424935
315,6.383821
316,5.500122
317,16.273991
318,14.371907
319,14.248990
320,18.035271
321,22.796382
322,9.205973
323,13.227333
324,14.073211
325,25.426618
326,4.901919
327,5.854741
328,12.830313
329,12.054488
330,17.499440
331,14.572905
332,13.534962
333,6.353111
334,6.250911
335,9.066522
336,7.913812
337,9.174363
338,5.601720
339,5.819663
340,19.236169
341,12.294921
342,6.135596
343,5.902507
344,5.836797
345,5.144323
346,7.707927
347,5.696446
348,6.625220
349,22.537226
350,6.170892
351,4.974211
352,7.694780
353,5.058157
354,7.286255
355,5.530464
356,9.469643
357,9.254552
358,6.114347
359,15.381867
360,13.289759
361,26.251968
362,14.865951
363,7.417878
364,5.587802
365,30.978766
366,6.155536
367,12.615661
368,7.210346
369,8.648796
370,13.829454
371,12.643767
372,7.433730
373,13.782897
374,6.275335
375,9.273430
376,6.756423
377,8.265582
378,12.756610
379,5.608547
380,7.067865
381,15.177310
382,7.037660
383,7.923644
384,15.494860
385,16.841134
386,7.563153
387,7.044941
388,5.564809
389,12.496070
390,5.230726
391,6.676060
392,19.146553
393,20.049420
394,13.518888
395,12.898956
396,7.951226
397,7.243361
398,5.477661
399,6.787920
400,5.700751
401,8.129189
402,15.663351
403,6.555191
404,15.223294
405,16.114373
406,5.804911
407,16.950990
408,6.002611
409,6.594714
410,6.931371
411,6.686238
412,6.219676
413,7.257399
414,13.359132
415,7.857282
416,8.083438
417,7.412957
418,14.009035
419,16.682206
420,6.059051
421,5.160334
422,12.324360
423,19.835792
424,19.117810
425,19.198128
426,6.239190
427,22.475531
428,5.892156
429,6.338800
430,5.310898
431,6.923045
432,12.749062
433,15.333084
434,8.782097
435,13.528109
436,28.242263
437,5.517189
438,14.131381
439,13.245936
440,12.788147
441,13.789533
442,7.181061
443,7.912229
444,8.140405
445,11.560211
446,7.061058
447,6.957581
448,20.023039
449,6.094292
450,7.022575
451,21.358549
452,7.238946
453,13.493092
454,7.289015
455,11.858661
456,14.870755
457,18.451288
458,6.180984
459,7.620255
460,7.099361
461,11.012141
462,13.151811
463,18.829004
464,13.863453
465,6.555197
466,6.203474
467,14.326447
468,16.506966
469,15.229348
470,13.405320
471,6.779659
472,14.455508
473,18.613006
474,7.810137
475,18.094450
476,7.725288
477,6.704770
478,8.428201
479,10.165339
480,13.311191
481,7.001921
482,6.874200
483,14.498522
484,7.208803
485,5.873481
486,15.271474
487,6.955096
488,14.083753
