id,importanceSampling
1,6.698899
2,10.058356
3,7.447896
4,15.080899
5,15.050913
6,6.851957
7,8.059846
8,9.061883
9,5.560837
10,16.723639
11,15.560988
12,4.939977
13,6.385234
14,9.320883
15,14.464161
16,10.973099
17,13.132570
18,13.627333
19,12.830670
20,7.276359
21,13.710363
22,8.168900
23,7.544713
24,6.688006
25,6.911322
26,7.171752
27,6.715124
28,13.866964
29,5.818931
30,15.767082
31,6.980430
32,7.508732
33,5.691374
34,7.037820
35,10.657906
36,6.903008
37,16.537914
38,6.598297
39,8.929587
40,22.703199
41,13.688915
42,6.991146
43,26.485625
44,8.495407
45,6.381071
46,7.827407
47,9.968689
48,6.161925
49,13.038589
50,6.157700
51,14.164686
52,7.423955
53,23.873531
54,24.761012
55,7.123118
56,5.392872
57,14.490321
58,12.359421
59,6.724598
60,4.881349
61,11.256009
62,7.383734
63,15.004384
64,8.105546
65,7.313595
66,13.345356
67,9.766317
68,18.143765
69,12.760448
70,12.577575
71,6.880741
72,21.850651
73,6.774236
74,6.360195
75,21.529389
76,22.682655
77,6.686045
78,6.699437
79,7.507360
80,24.485723
81,13.391726
82,5.016049
83,5.176152
84,21.230804
85,6.545148
86,6.406635
87,13.538887
88,14.643922
89,7.399945
90,7.455985
91,15.789413
92,6.955317
93,11.333176
94,6.615343
95,6.965032
96,21.460717
97,5.946468
98,7.470421
99,5.262323
100,10.918936
101,10.876078
102,19.250837
103,23.377639
104,18.932503
105,17.917262
106,12.069846
107,10.724241
108,6.652452
109,5.793280
110,9.577974
111,13.477996
112,13.302247
113,14.776902
114,4.387433
115,15.604551
116,7.492771
117,6.938005
118,8.133944
119,11.347583
120,7.012844
121,12.312834
122,6.484233
123,19.855950
124,4.648216
125,13.771331
126,7.025501
127,8.442672
128,4.215590
129,11.716806
130,7.121337
131,20.741842
132,7.517184
133,7.714098
134,13.098004
135,12.177224
136,9.469163
137,6.519554
138,10.841898
139,21.011012
140,6.478342
141,17.233623
142,18.729670
143,17.621279
144,13.641485
145,7.034767
146,23.798258
147,19.619179
148,12.787473
149,7.761332
150,15.523097
151,22.524300
152,16.139854
153,15.489240
154,9.396398
155,7.265363
156,13.043604
157,13.513589
158,10.413168
159,8.830419
160,7.321197
161,14.801764
162,6.458182
163,7.521847
164,6.466007
165,9.146346
166,6.985072
167,9.790997
168,7.787106
169,5.325349
170,13.666886
171,6.300350
172,10.109101
173,9.067866
174,7.779836
175,6.048421
176,11.698320
177,5.158027
178,6.375214
179,12.054651
180,14.274733
181,9.314172
182,6.622726
183,7.992269
184,12.557779
185,6.918310
186,7.097669
187,6.455643
188,7.127013
189,7.045921
190,7.815470
191,20.769980
192,15.792617
193,6.761077
194,4.472149
195,9.923855
196,14.882838
197,4.709571
198,17.652386
199,6.031945
200,6.508727
201,7.283543
202,6.646391
203,6.219567
204,14.330237
205,15.141561
206,5.414702
207,15.282563
208,6.306624
209,7.640037
210,10.750359
211,18.660541
212,12.208368
213,7.890256
214,11.751674
215,7.979700
216,14.488233
217,12.707645
218,15.396009
219,7.145741
220,9.720307
221,14.227239
222,4.857402
223,6.133864
224,6.008336
225,19.637385
226,6.729468
227,10.097264
228,7.898938
229,5.881632
230,5.451530
231,7.458099
232,17.639783
233,14.142221
234,5.050894
235,8.556388
236,12.300092
237,22.999225
238,23.497559
239,15.865127
240,12.249723
241,7.621684
242,5.825125
243,7.753425
244,19.880353
245,8.120925
246,9.917682
247,6.070522
248,12.499279
249,19.326968
250,6.137903
251,7.098122
252,8.107731
253,7.331328
254,6.095403
255,13.424697
256,7.270333
257,20.452076
258,6.354652
259,15.136882
260,11.182448
261,19.376872
262,19.747790
263,6.887327
264,14.209983
265,8.085187
266,16.566735
267,4.597496
268,7.142239
269,6.784477
270,7.106275
271,9.203791
272,12.455603
273,20.885074
274,6.500667
275,6.763873
276,24.751389
277,10.726056
278,8.401000
279,7.737061
280,6.716244
281,5.976644
282,20.692313
283,14.067872
284,7.214381
285,6.862151
286,12.543898
287,6.092186
288,13.659792
289,18.369084
290,13.335040
291,26.316899
292,24.547798
293,6.793900
294,8.182920
295,6.888154
296,11.523946
297,5.112034
298,7.920279
299,7.421528
300,10.925917
301,20.642724
302,5.784869
303,13.934874
304,15.302187
305,34.904603
306,10.698111
307,7.762269
308,25.276682
309,19.645971
310,11.684712
311,14.163544
312,5.705529
313,10.158935
314,13.388737
315,6.431514
316,5.453194
317,14.782850
318,15.876336
319,14.283775
320,18.840779
321,24.329607
322,9.510083
323,13.977627
324,13.330293
325,32.356919
326,4.209765
327,6.181975
328,13.034366
329,11.807666
330,17.611862
331,14.528038
332,14.040980
333,6.251756
334,6.266344
335,9.212804
336,7.891169
337,8.983453
338,5.626755
339,5.698422
340,20.384502
341,12.438110
342,6.136700
343,5.983551
344,6.148188
345,4.584489
346,7.706064
347,5.949643
348,6.654458
349,28.695829
350,6.193103
351,4.338379
352,7.758537
353,4.399209
354,7.430017
355,5.459769
356,9.933079
357,9.266419
358,6.050128
359,16.102750
360,12.985119
361,27.401049
362,14.828566
363,7.459767
364,5.438273
365,31.119025
366,6.145857
367,12.750124
368,7.293707
369,8.824684
370,13.854467
371,12.852289
372,7.489860
373,14.572289
374,6.278322
375,9.467745
376,6.814613
377,8.349653
378,12.317418
379,5.331995
380,7.303380
381,15.038925
382,7.006798
383,7.971800
384,15.240676
385,16.733155
386,7.620969
387,7.024191
388,5.288289
389,12.389707
390,4.864563
391,6.741340
392,19.903843
393,20.277088
394,13.628418
395,13.076547
396,7.946119
397,7.278038
398,4.896118
399,6.856082
400,5.595304
401,8.239092
402,15.419536
403,6.612453
404,15.224467
405,15.998408
406,5.685086
407,16.871151
408,5.852737
409,6.936415
410,6.986528
411,6.714287
412,6.551981
413,7.529719
414,13.547158
415,7.988024
416,8.278392
417,7.421067
418,14.393975
419,16.573856
420,5.950321
421,4.788913
422,12.029510
423,20.605540
424,16.988094
425,20.215629
426,6.251711
427,22.568974
428,5.833219
429,6.364138
430,4.770624
431,6.956579
432,13.392666
433,15.307449
434,8.687671
435,13.043447
436,29.172484
437,5.435856
438,13.396565
439,12.914195
440,13.116188
441,13.799273
442,7.183471
443,7.880130
444,8.087380
445,11.525096
446,7.160119
447,6.925004
448,20.946786
449,6.071471
450,6.989689
451,21.508381
452,7.217195
453,12.864768
454,7.274952
455,11.416186
456,13.677963
457,18.945648
458,6.177314
459,7.608719
460,7.165801
461,10.321681
462,13.169880
463,19.457632
464,14.052081
465,6.627551
466,6.222299
467,13.607133
468,16.393439
469,15.059887
470,13.833432
471,7.099626
472,14.450921
473,19.232962
474,7.815719
475,18.750342
476,7.850664
477,6.754115
478,8.508923
479,8.879320
480,14.330030
481,6.988475
482,7.141617
483,18.758820
484,7.326731
485,5.811323
486,14.979771
487,7.115451
488,14.311531
489,6.118158
490,12.757537
491,7.919632
492,9.864717
493,13.154696
494,6.250956
495,14.258260
496,11.056615
497,6.745568
498,8.565058
499,12.814331
500,7.023816
501,25.538370
502,14.855863
503,18.609065
504,9.579830
505,7.019388
506,28.911687
507,6.628633
508,10.061396
509,5.816739
510,6.954419
